aX,aY,aZ,gX,gY,gZ
-5.230,10.720,-11.290,10.000,23.937,5.875
-4.760,11.150,-11.290,20.062,6.437,1.125
-4.030,11.680,-11.050,20.687,-6.625,1.875
-4.030,11.680,-11.050,20.687,-6.625,1.875
-3.790,11.930,-10.870,17.125,-7.750,6.062
-3.790,11.930,-10.870,11.500,0.750,7.562
-4.020,12.080,-11.110,11.500,0.750,7.562
-4.000,12.010,-11.210,6.812,5.125,8.000
-3.530,11.660,-10.690,5.750,2.813,5.500
-3.530,11.660,-10.690,6.750,1.562,0.687
-3.430,11.350,-10.460,6.750,1.562,0.687
-3.790,11.380,-10.790,6.000,5.875,0.750
-3.790,11.380,-10.790,6.000,5.875,0.750
-4.230,11.550,-11.280,6.562,11.688,0.812
-4.810,12.170,-12.230,8.625,11.125,-3.625
-4.810,12.170,-12.230,8.625,11.125,-3.625
-4.200,12.210,-11.910,12.313,1.250,-11.063
-3.690,12.110,-11.550,12.625,-12.563,-17.062
-3.690,12.110,-11.550,8.125,-18.875,-19.437
-3.400,11.760,-10.890,8.125,-18.875,-19.437
-3.000,10.800,-10.070,0.687,-16.562,-16.062
-3.000,10.800,-10.070,-5.812,-5.562,-8.313
-3.230,10.920,-10.100,-5.812,-5.562,-8.313
-3.380,11.030,-10.180,-8.000,6.437,-2.563
-3.670,10.930,-10.570,-6.812,16.312,2.188
-3.670,10.930,-10.570,-6.812,16.312,2.188
-4.600,11.230,-11.110,-5.812,22.687,6.750
-4.850,11.400,-11.650,-3.750,23.437,8.563
-4.850,11.400,-11.650,-3.750,23.437,8.563
-5.050,11.710,-11.960,2.000,16.812,3.813
-4.850,11.880,-12.000,6.875,4.437,-3.125
-4.150,11.790,-11.210,8.750,-8.563,-9.000
-4.150,11.790,-11.210,8.750,-8.563,-9.000
-3.710,11.710,-10.700,7.000,-16.000,-13.000
-3.380,11.300,-10.430,5.250,-15.750,-15.563
-3.380,11.300,-10.430,5.250,-15.750,-15.563
-3.220,11.290,-10.330,2.375,-11.188,-14.500
-3.610,10.930,-10.220,-2.875,-2.813,-6.312
-4.190,10.900,-10.800,-5.062,8.563,0.062
-4.190,10.900,-10.800,-5.062,8.563,0.062
-4.590,11.070,-10.850,-2.375,17.125,4.875
-4.680,11.290,-11.050,1.312,18.375,7.000
-4.680,11.290,-11.050,1.312,18.375,7.000
-4.660,11.240,-11.150,5.750,14.500,5.437
-4.500,11.050,-10.990,11.313,7.812,0.187
-4.190,11.000,-10.710,16.062,1.250,-3.188
-4.190,11.000,-10.710,16.062,1.250,-3.188
-3.450,11.080,-10.600,17.062,-0.500,-5.187
-3.450,11.080,-10.600,15.438,1.000,-6.687
-3.400,11.460,-10.810,15.438,1.000,-6.687
-3.550,11.870,-11.120,7.187,4.562,-2.938
-3.630,11.950,-11.200,-2.250,10.500,3.750
-4.080,11.900,-11.390,-7.687,15.188,7.687
-4.080,11.900,-11.390,-7.687,15.188,7.687
-4.420,11.860,-11.670,-9.438,16.500,8.500
-4.420,11.860,-11.670,-9.438,16.500,8.500
-4.420,11.860,-11.670,-7.687,12.750,5.500
-4.570,11.800,-11.710,-7.687,12.750,5.500
-4.420,11.580,-11.570,-2.063,5.375,-0.125
