aX,aY,aZ,gX,gY,gZ
-0.140,0.870,-0.460,-5.187,3.000,2.375
-0.060,0.910,-0.890,-5.750,5.062,1.812
-0.060,0.910,-0.890,-5.750,5.062,1.812
-0.060,0.970,-0.380,-1.500,4.625,2.250
0.010,0.770,-0.140,0.937,3.375,1.062
0.010,0.770,-0.140,0.937,3.375,1.062
0.130,0.640,0.150,1.375,3.250,-1.062
0.130,0.640,0.150,1.875,3.063,-1.875
0.230,0.420,0.670,1.875,3.063,-1.875
0.160,0.530,0.340,1.437,2.500,-2.063
0.060,0.850,0.030,3.938,1.625,-1.687
0.060,0.850,0.030,3.938,1.625,-1.687
0.040,1.070,-0.290,4.312,-0.437,-1.437
0.040,1.070,-0.290,4.312,-0.437,-1.437
-0.020,0.950,-0.540,2.563,-2.625,-1.625
-0.020,0.950,-0.540,0.750,-4.312,-1.437
0.000,0.840,-0.580,0.750,-4.312,-1.437
-0.060,1.010,-0.590,-0.062,-2.813,0.187
-0.070,1.020,-0.400,-0.062,-1.437,1.312
-0.070,1.020,-0.400,-0.312,-1.125,0.687
-0.100,0.730,0.010,-0.312,-1.125,0.687
-0.060,0.590,0.430,0.625,-0.875,0.312
-0.010,0.480,0.680,1.187,-0.687,-0.875
-0.010,0.480,0.680,1.187,-0.687,-0.875
0.150,0.430,0.600,-0.125,1.250,-1.750
0.060,0.750,0.090,-0.437,2.313,-1.187
0.060,0.750,0.090,-0.625,1.187,-0.375
-0.080,0.810,-0.260,-0.625,1.187,-0.375
-0.070,0.960,-0.420,-0.062,-1.187,-1.062
-0.010,0.900,-0.200,-0.437,-1.500,-1.875
0.040,0.740,-0.130,-3.313,-0.125,-2.750
0.090,0.670,-0.020,-3.688,2.000,-2.938
0.090,0.670,-0.020,-3.688,2.000,-2.938
0.110,0.700,0.180,-2.750,3.125,-1.750
0.110,0.700,0.180,-2.750,3.125,-1.750
0.030,0.690,0.080,-1.312,4.875,-0.750
0.020,0.660,0.040,0.187,6.250,0.437
0.020,0.660,0.040,0.187,6.250,0.437
0.090,0.760,0.100,1.875,3.938,0.562
0.070,0.860,-0.070,3.125,3.625,1.500
0.070,0.860,-0.070,3.125,3.625,1.500
-0.060,0.890,-0.100,4.375,4.312,3.063
-0.140,0.860,-0.270,2.313,5.375,4.312
-0.140,0.860,-0.270,2.313,5.375,4.312
-0.170,1.010,-0.320,0.687,7.750,5.000
-0.130,1.070,-0.310,-0.500,8.063,3.750
0.090,0.840,-0.140,-4.562,5.500,1.125
0.090,0.840,-0.140,-4.562,5.500,1.125
0.140,0.740,-0.180,-5.500,5.000,-1.000
0.140,0.740,-0.180,-5.500,5.000,-1.000
0.140,0.790,-0.210,-2.438,4.312,-1.500
0.140,0.790,-0.210,1.312,-1.375,-1.687
0.110,0.770,-0.130,1.312,-1.375,-1.687
0.040,0.800,-0.140,2.438,-5.500,-2.000
0.050,0.840,-0.020,3.063,-7.875,-0.625
0.050,0.840,-0.020,1.562,-8.500,0.250
0.000,0.740,-0.100,1.562,-8.500,0.250
-0.010,0.790,-0.060,1.937,-6.562,1.687
-0.010,0.790,-0.060,1.812,-2.625,3.063
-0.070,0.730,0.250,1.812,-2.625,3.063
-0.090,0.670,0.340,0.625,2.750,3.250
-0.050,0.660,0.240,0.187,8.500,2.500
-0.050,0.660,0.240,0.187,8.500,2.500
-0.090,0.620,-0.060,1.812,12.750,1.375
-0.120,0.540,0.020,3.625,13.688,-0.500
-0.120,0.540,0.020,3.188,10.750,-2.750
-0.070,0.480,0.040,3.188,10.750,-2.750
0.010,0.370,-0.270,-2.313,3.438,-4.562
0.010,0.370,-0.270,-2.313,3.438,-4.562
0.010,0.800,-0.380,-6.125,-3.188,-4.500
0.010,0.800,-0.380,-5.875,-8.313,-3.313
0.000,0.950,-0.190,-5.875,-8.313,-3.313
0.000,0.950,-0.190,-5.562,-9.063,-2.688
0.050,0.840,-0.070,-5.562,-9.063,-2.688
0.070,0.800,-0.080,-4.375,-4.875,-1.625
0.010,0.910,0.100,-0.312,1.000,0.562
0.040,0.840,0.080,1.312,6.437,1.687
0.040,0.840,0.080,1.312,6.437,1.687
0.010,0.900,0.000,2.188,11.313,1.875
0.010,0.900,0.000,2.188,11.313,1.875
-0.090,1.090,-0.300,2.500,14.375,1.875
-0.090,1.090,-0.300,-0.312,11.813,0.812
-0.050,0.860,-0.610,-0.312,11.813,0.812
0.020,0.690,-0.720,-3.063,4.687,-0.875
-0.080,0.950,-0.300,-1.250,-4.250,-0.312
-0.080,0.950,-0.300,-1.250,-4.250,-0.312
-0.050,0.940,0.090,1.625,-11.688,0.375
0.000,0.650,-0.030,0.187,-12.250,-0.375
0.000,0.650,-0.030,0.187,-12.250,-0.375
0.020,0.680,0.070,0.437,-9.563,-0.125
0.000,0.700,0.220,2.375,-8.813,0.687
-0.020,0.720,0.150,4.312,-4.687,1.000
-0.020,0.720,0.150,4.312,-4.687,1.000
-0.020,0.910,0.330,4.750,3.875,2.000
-0.020,0.910,0.330,4.750,3.875,2.000
-0.040,0.930,0.280,4.750,3.875,2.000
-0.060,0.680,-0.010,-0.375,6.062,0.500
0.000,0.760,-0.250,-5.937,5.812,-0.437
-0.030,0.920,-0.110,-3.938,3.688,0.250
-0.030,0.920,-0.110,-3.938,3.688,0.250
-0.010,0.770,-0.110,-1.312,0.062,1.062
-0.010,0.770,-0.110,-1.312,0.062,1.062
0.010,0.740,-0.030,-1.312,0.062,1.062
0.010,0.640,-0.200,-1.687,3.500,3.000
0.020,0.750,-0.100,-0.125,3.000,3.875
0.020,0.750,-0.100,-0.125,3.000,3.875
0.000,0.790,0.170,-0.062,2.500,3.375
-0.010,0.820,0.120,-0.750,3.375,1.875
-0.010,0.820,0.120,-0.750,3.375,1.875
-0.100,0.980,0.040,-2.938,4.187,-0.062
-0.100,0.980,0.040,-6.437,3.500,-3.188
-0.070,0.900,0.040,-6.437,3.500,-3.188
0.010,0.700,-0.200,-7.437,2.063,-4.687
0.060,0.720,-0.350,-6.500,0.937,-3.125
0.060,0.720,-0.350,-6.500,0.937,-3.125
0.100,0.610,-0.550,-3.250,-0.625,-0.312
0.100,0.610,-0.550,1.625,-3.063,2.063
0.040,0.870,-0.240,1.625,-3.063,2.063
0.020,0.990,-0.030,2.625,-2.563,2.625
